ID,Player,Team,Position,Year,Week,Home,Atts,Comps,Comp %,Yards,Yards per Att,Yards per Comp,Ints,TDs,Two Pts,Two Pt Atts,Tgt,Rec,Rec %,Yards,Yards per Tgt,Yards per Rec,Yards after Catch,TDs,Two Pts,Carries,Yards,YPC,Yards after Catch,TDs,Two Pts,Fumbles,Fumbles Lost,Fantasy Pts,passingAttsGm,passingCmpsGm,passingCmpPerGm,passingYardsGm,passingIntsGm,passingTDsGm,passingTwoPtsGm,passingTwoPtAttsGm,yardsPerAttGm,yardsPerCmpGm,receivingTargetsGm,receivingReceptionsGm,receivingYardsGm,receivingYardsAfterCatchGm,receivingTDsGm,receivingTwoPtsGm,catchPerGm,yardsPerTarGm,yardsPerCatGm,rushingAttemptsGm,rushingYardsGm,rushingYardsAfterContactGm,rushingTDsGm,rushingTwoPtsGm,yardsPerCarryGm,fumblesGm,fumblesLostGm,fantasyPtsGmattemptsTot,completionsTot,pYardsTot,interceptionsTot,pTdsTot,pTwoPtsTot,pTwoPtAttsTot,targetsTot,receptionsTot,rYardsTot,yardsAfterCatchTot,rTdsTot,rTwoPtsTot,carriesTot,ruYardsTot,yardsAfterContactTot,ruTdsTot,ruTwoPtsTot,fumblesTot,fumblesLostTot,fantasyPtsTotal
00-0025396,Ted Ginn,NO,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,4,0,53,10,0,13,0,0,1,5,5,0,0,0,0,0,5.8,0,0,NaN,0,0,0,0,0,NaN,NaN,5,4,53,13,0,0,0.8,10.6,13.25,1,5,0,0,0,Infinity,0,0,5.8000000000000010.0,0,0,0,0,0,0,5,4,53,13,0,0,1,5,0,0,0,0,0,5.8
00-0025399,Marshawn Lynch,OAK,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,1,0,16,8,0,18,0,0,18,76,4,0,0,0,0,0,9.2,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,16,18,0,0,0.5,8,16,18,76,0,0,0,Infinity,0,0,9.2000000000000010.0,0,0,0,0,0,0,2,1,16,18,0,0,18,76,0,0,0,0,0,9.2
00-0025418,Greg Olsen,CAR,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,2,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,NaN,0,0,0,0,0,NaN,NaN,4,2,18,0,0,0,0.5,4.5,9,0,0,0,0,0,NaN,0,0,1.80.0,0,0,0,0,0,0,4,2,18,0,0,0,0,0,0,0,0,0,0,1.8
00-0025549,Brent Celek,PHI,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,1,0,11,5,0,13,0,0,0,0,0,0,0,0,0,0,1.1,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,11,13,0,0,0.5,5.5,11,0,0,0,0,0,NaN,0,0,1.10.0,0,0,0,0,0,0,2,1,11,13,0,0,0,0,0,0,0,0,0,1.1
00-0026019,Danny Woodhead,BAL,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,3,3,1,33,11,0,11,0,0,1,4,4,0,0,0,0,0,3.7,0,0,NaN,0,0,0,0,0,NaN,NaN,3,3,33,11,0,0,1,11,11,1,4,0,0,0,Infinity,0,0,3.70.0,0,0,0,0,0,0,3,3,33,11,0,0,1,4,0,0,0,0,0,3.7
00-0026035,Danny Amendola,NE,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,7,6,0,100,14,0,49,0,0,0,0,0,0,0,0,1,0,9,0,0,NaN,0,0,0,0,0,NaN,NaN,7,6,100,49,0,0,0.857142857,14.28571429,16.66666667,0,0,0,0,0,NaN,1,0,9.00.0,0,0,0,0,0,0,7,6,100,49,0,0,0,0,0,0,0,1,0,9
00-0026143,Matt Ryan,ATL,QB,2017,1,FALSE,30,21,0,321,10,15,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,17.94,30,21,1.428571429,321,0,1,0,0,10.7,15.28571429,0,0,0,0,0,0,NaN,NaN,NaN,3,11,0,0,0,0.366666667,0,0,17.9430.0,21,321,0,1,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,17.94
00-0026153,Jonathan Stewart,CAR,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,2,1,17,8,0,17,1,0,18,65,3,0,0,0,0,0,14.2,0,0,NaN,0,0,0,0,0,NaN,NaN,2,2,17,17,1,0,1,8.5,8.5,18,65,0,1,0,Infinity,0,0,14.20.0,0,0,0,0,0,0,2,2,17,17,1,0,18,65,0,0,0,0,0,14.2
00-0026158,Joe Flacco,BAL,QB,2017,1,FALSE,17,9,0,121,7,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,17,9,1.888888889,121,1,1,0,0,7.117647059,13.44444444,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,6.8417.0,9,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84
00-0026176,Jordy Nelson,GB,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,8,7,0,79,9,0,6,1,0,0,0,0,0,0,0,0,0,13.9,0,0,NaN,0,0,0,0,0,NaN,NaN,8,7,79,6,1,0,0.875,9.875,11.28571429,0,0,0,1,0,NaN,0,0,13.90.0,0,0,0,0,0,0,8,7,79,6,1,0,0,0,0,0,0,0,0,13.9
00-0026184,Matt Forte,NYJ,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,3,0,20,4,0,26,0,0,6,16,2,0,0,0,0,0,3.6,0,0,NaN,0,0,0,0,0,NaN,NaN,5,3,20,26,0,0,0.6,4,6.666666667,6,16,0,0,0,Infinity,0,0,3.60.0,0,0,0,0,0,0,5,3,20,26,0,0,6,16,0,0,0,0,0,3.6
00-0026201,Martellus Bennett,GB,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,6,3,0,43,7,0,26,0,0,0,0,0,0,0,0,0,0,4.3,0,0,NaN,0,0,0,0,0,NaN,NaN,6,3,43,26,0,0,0.5,7.166666667,14.33333333,0,0,0,0,0,NaN,0,0,4.30.0,0,0,0,0,0,0,6,3,43,26,0,0,0,0,0,0,0,0,0,4.3
00-0026213,Jamaal Charles,DEN,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,40,4,0,0,0,1,1,2,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,0,0,0,0,0,0,NaN,10,40,0,0,0,Infinity,1,1,2.00.0,0,0,0,0,0,0,1,0,0,0,0,0,10,40,0,0,0,1,1,2
00-0026345,Pierre Garcon,SF,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,10,6,0,81,8,0,43,0,0,0,0,0,0,0,0,0,0,8.1,0,0,NaN,0,0,0,0,0,NaN,NaN,10,6,81,43,0,0,0.6,8.1,13.5,0,0,0,0,0,NaN,0,0,8.10.0,0,0,0,0,0,0,10,6,81,43,0,0,0,0,0,0,0,0,0,8.1
00-0026498,Matthew Stafford,DET,QB,2017,1,TRUE,41,29,0,292,7,10,1,4,2,0,0,0,0,0,0,0,0,0,0,2,14,7,0,0,0,0,0,31.08,41,29,1.413793103,292,1,4,2,0,7.12195122,10.06896552,0,0,0,0,0,0,NaN,NaN,NaN,2,14,0,0,0,0.341463415,0,0,31.0841.0,29,292,1,4,2,0,0,0,0,0,0,0,2,14,0,0,0,0,0,31.08
00-0026625,Brian Hoyer,SF,QB,2017,1,TRUE,35,24,0,193,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,-5,0,0,0,1,1,3.22,35,24,1.458333333,193,1,0,0,0,5.514285714,8.041666667,0,0,0,0,0,0,NaN,NaN,NaN,1,-5,0,0,0,-0.142857143,1,1,3.219999999999999835.0,24,193,1,0,0,0,0,0,0,0,0,0,1,-5,0,0,0,1,1,3.22
00-0026901,Mike Wallace,BAL,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,8,8,0,2,0,0,0,0,0,0,0,0,0,0,0.8,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,8,2,0,0,1,8,8,0,0,0,0,0,NaN,0,0,0.80.0,0,0,0,0,0,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0.8
00-0026983,Darrius Heyward-Bey,PIT,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0026986,Michael Crabtree,OAK,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,7,6,0,83,11,0,33,0,0,0,0,0,0,0,0,0,0,8.3,0,0,NaN,0,0,0,0,0,NaN,NaN,7,6,83,33,0,0,0.857142857,11.85714286,13.83333333,0,0,0,0,0,NaN,0,0,8.30.0,0,0,0,0,0,0,7,6,83,33,0,0,0,0,0,0,0,0,0,8.3
00-0026995,Jeremy Maclin,BAL,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,2,0,56,14,0,54,1,0,0,0,0,0,0,0,0,0,11.6,0,0,NaN,0,0,0,0,0,NaN,NaN,4,2,56,54,1,0,0.5,14,28,0,0,0,1,0,NaN,0,0,11.6000000000000010.0,0,0,0,0,0,0,4,2,56,54,1,0,0,0,0,0,0,0,0,11.6
00-0027006,Kenny Britt,CLE,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,3,1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,NaN,0,0,0,0,0,NaN,NaN,3,1,13,0,0,0,0.333333333,4.333333333,13,0,0,0,0,0,NaN,0,0,1.30.0,0,0,0,0,0,0,3,1,13,0,0,0,0,0,0,0,0,0,0,1.3
00-0027029,LeSean McCoy,BUF,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,6,5,0,49,8,0,39,0,0,22,110,5,0,0,0,0,0,15.9,0,0,NaN,0,0,0,0,0,NaN,NaN,6,5,49,39,0,0,0.833333333,8.166666667,9.8,22,110,0,0,0,Infinity,0,0,15.90.0,0,0,0,0,0,0,6,5,49,39,0,0,22,110,0,0,0,0,0,15.9
00-0027057,Brandon Tate,BUF,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0027061,Jared Cook,OAK,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,5,1,56,11,0,17,0,0,0,0,0,0,0,0,0,0,5.6,0,0,NaN,0,0,0,0,0,NaN,NaN,5,5,56,17,0,0,1,11.2,11.2,0,0,0,0,0,NaN,0,0,5.60000000000000050.0,0,0,0,0,0,0,5,5,56,17,0,0,0,0,0,0,0,0,0,5.6
00-0027125,Zach Miller,CHI,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,6,4,0,39,6,0,13,0,0,0,0,0,0,0,0,0,0,3.9,0,0,NaN,0,0,0,0,0,NaN,NaN,6,4,39,13,0,0,0.666666667,6.5,9.75,0,0,0,0,0,NaN,0,0,3.90000000000000040.0,0,0,0,0,0,0,6,4,39,13,0,0,0,0,0,0,0,0,0,3.9
